titulo,descripcion,condiciones,precio,color,disponible,imagen_url,ubicacion,reputacion,antiguedad_vendedor,ventas_concretadas,url
Laptop Dell Para Repuesto Inspirion 3521,"El laptop se le daño la tarjeta madre sin disco ni memoria por partes o completo como quieran estamos a su orden dell inspirion 3521 tiene su cargador,teclado,bateria pantalla 15.6 pregunte",Usado,18.000.000,,,https://http2.mlstatic.com/laptop-dell-para-repuesto-inspirion-3521-D_NQ_NP_814265-MLV42257232133_062020-F.webp,"Mario Briceño Iragorry (El Limón), Aragua",100%,13 Años,21,https://articulo.mercadolibre.com.ve/MLV-562906245-laptop-dell-para-repuesto-inspirion-3521-_JM
Repuestos Laptop Dell Inspiron N4010,Pregunte por el repuesto que necesite,Usado,4.000.000,Gris,,https://http2.mlstatic.com/repuestos-laptop-dell-inspiron-n4010-D_NQ_NP_819604-MLV41232063922_032020-F.webp,"Mun. Libertador (Suroeste), Distrito Capital",100%,4 Meses,12,https://articulo.mercadolibre.com.ve/MLV-558742459-repuestos-laptop-dell-inspiron-n4010-_JM?searchVariation=54990691402
Laptop Dell Vostro 5490 I7-10510 14 8gb 256gb Ssd Win10pro,BEACON 212 - Los Cortijos,,376.145.000,Negro,,https://http2.mlstatic.com/laptop-dell-vostro-5490-i7-10510-14-8gb-256gb-ssd-win10pro-D_NQ_NP_846026-MLV42165387523_062020-F.webp,,100%,3 Años,3512,https://articulo.mercadolibre.com.ve/MLV-561983605-laptop-dell-vostro-5490-i7-10510-14-8gb-256gb-ssd-win10pro-_JM?searchVariation=57343202782
Laptop Dell Inspiron 5520 (repuesto),Laptop Dell 5520 (para repuesto),Usado,2.000.000,Negro,,https://http2.mlstatic.com/laptop-dell-inspiron-5520-repuesto-D_NQ_NP_672268-MLV42247815478_062020-F.webp,"Libertador, Distrito Capital",100%,13 Años,123,https://articulo.mercadolibre.com.ve/MLV-562862350-laptop-dell-inspiron-5520-repuesto-_JM?searchVariation=58229481091
Laptop Dell Inspiron 5391 I7 256gb 8gb 13.3 Mx250 2gb W10,BEACON 212 - Los Cortijos,,396.604.700,Gris,,https://http2.mlstatic.com/laptop-dell-inspiron-5391-i7-256gb-8gb-133-mx250-2gb-w10-D_NQ_NP_676733-MLV42166593288_062020-F.webp,,100%,3 Años,3512,https://articulo.mercadolibre.com.ve/MLV-561982204-laptop-dell-inspiron-5391-i7-256gb-8gb-133-mx250-2gb-w10-_JM?searchVariation=57341714789
Laptop Dell Inspiron 3583 15.6 I7-8565u 8gb Ddr4 1tb W10,Somos technostore_ve siganos para obtener beneficios por este y otros productos.,Nuevo,216.300.000,Negro,,https://http2.mlstatic.com/laptop-dell-inspiron-3583-156-i7-8565u-8gb-ddr4-1tb-w10-D_NQ_NP_821625-MLV42496246983_072020-F.webp,"Mun. Libertador (Centro), Distrito Capital",100%,8 Años,29,https://articulo.mercadolibre.com.ve/MLV-561197142-laptop-dell-inspiron-3583-156-i7-8565u-8gb-ddr4-1tb-w10-_JM?searchVariation=56520935156
Lapto Dell Inspiron 3481 Silver 14 4gb Dd 1tb,***IMPORTANTE***,Nuevo,4.300.000,Gris,,https://http2.mlstatic.com/lapto-dell-inspiron-3481-silver-14-4gb-dd-1tb-D_NQ_NP_703956-MLV42045356932_062020-F.webp,"Girardot (Maracay), Aragua",100%,1 Mes,24,https://articulo.mercadolibre.com.ve/MLV-561839921-lapto-dell-inspiron-3481-silver-14-4gb-dd-1tb-_JM?searchVariation=57197487577
Laptop Dell Inspiron 1100 Con Detalle. Precio De Regalo,******** CONSULTE PRECIO Y DISPONIBILIDAD ANTES DE OFERTAR*********,Usado,20.000.000,Azul,,https://http2.mlstatic.com/laptop-dell-inspiron-1100-con-detalle-precio-de-regalo-D_NQ_NP_666926-MLV26411237439_112017-F.webp,"Mun. Libertador (Suroeste), Distrito Capital",100%,10 Años,169,https://articulo.mercadolibre.com.ve/MLV-504766868-laptop-dell-inspiron-1100-con-detalle-precio-de-regalo-_JM?searchVariation=38875446342
Laptop Dell,Dell Inspiron de 15.6 pulgadas con camara,Usado,500.000,Negro,,https://http2.mlstatic.com/laptop-dell-D_NQ_NP_637319-MLV33014003264_112019-F.webp,"caracas, Distrito Capital",100%,13 Años,77,https://articulo.mercadolibre.com.ve/MLV-551842239-laptop-dell-_JM?searchVariation=47063188936
"Laptop Dell I5, Tactil, 8gb Ram,256 Ssd","GRACIAS POR PREFERIRNOS, SOMOS CARRECEL SU TIENDA EN LA WEB",Nuevo,170.660.000,Negro,,https://http2.mlstatic.com/laptop-dell-i5-tactil-8gb-ram256-ssd-D_NQ_NP_963207-MLV41873762487_052020-F.webp,"Mun. Sucre (este), Distrito Capital",100%,16 Años,557,https://articulo.mercadolibre.com.ve/MLV-560995277-laptop-dell-i5-tactil-8gb-ram256-ssd-_JM?searchVariation=56259186352
